internalId,category,tier,hidden,nameStatus,firstRound,enabled,taptapId
A01,技能,silver,false,placeholder,false,false,
A02,技能,silver,false,provisional,false,false,
A03,技能,silver,false,placeholder,false,false,
A04,技能,silver,false,placeholder,false,false,
A05,技能,silver,false,placeholder,false,false,
A06,技能,silver,false,placeholder,false,false,
A08,技能,silver,false,placeholder,false,false,
A10,技能,silver,false,placeholder,false,false,
A11,技能,silver,false,placeholder,false,false,
A12,技能,silver,false,placeholder,false,false,
A13,技能,silver,false,placeholder,false,false,
A14,技能,silver,false,placeholder,false,false,
A15,技能,silver,false,placeholder,false,false,
A16,技能,silver,false,placeholder,false,false,
A17,技能,silver,false,placeholder,false,false,
A18,技能,silver,false,placeholder,false,false,
A19,技能,silver,false,placeholder,false,false,
A20,技能,silver,false,placeholder,false,false,
A21,技能,silver,false,placeholder,false,false,
A22,技能,gold,false,placeholder,false,false,
A23,技能,gold,false,provisional,false,false,
A24,技能,gold,false,placeholder,false,false,
A25,技能,gold,false,placeholder,false,false,
A26,技能,gold,false,placeholder,false,false,
A27,技能,gold,false,placeholder,false,false,
A29,技能,gold,false,placeholder,false,false,
A31,技能,gold,false,placeholder,false,false,
A32,技能,gold,false,placeholder,false,false,
A33,技能,gold,false,placeholder,false,false,
A34,技能,gold,false,placeholder,false,false,
A35,技能,gold,false,placeholder,false,false,
A36,技能,gold,false,placeholder,false,false,
A37,技能,gold,false,placeholder,false,false,
A38,技能,gold,false,placeholder,false,false,
A39,技能,gold,false,placeholder,false,false,
A40,技能,gold,false,placeholder,false,false,
A41,技能,gold,false,placeholder,false,false,
A42,技能,gold,false,placeholder,false,false,
A43,技能,gold,false,placeholder,false,false,
A44,技能,silver,false,placeholder,false,false,
A45,技能,gold,false,placeholder,false,false,
A46,技能,silver,false,placeholder,false,false,
A47,技能,gold,false,placeholder,false,false,
A48,技能,legendary,false,placeholder,false,false,
B01,采矿工业,bronze,false,placeholder,false,false,
B02,采矿工业,bronze,false,placeholder,false,false,
B03,采矿工业,bronze,false,placeholder,false,false,
B04,采矿工业,bronze,false,placeholder,false,false,
B05,采矿工业,bronze,false,placeholder,false,false,
B06,采矿工业,bronze,false,placeholder,false,false,
B07,采矿工业,bronze,false,placeholder,false,false,
B08,采矿工业,bronze,false,placeholder,false,false,
B09,采矿工业,bronze,false,placeholder,false,false,
B10,采矿工业,bronze,false,placeholder,false,false,
B11,采矿工业,bronze,false,placeholder,false,false,
B12,采矿工业,bronze,false,placeholder,false,false,
B13,采矿工业,bronze,false,placeholder,false,false,
B14,采矿工业,bronze,false,placeholder,false,false,
B15,采矿工业,silver,false,placeholder,false,false,
B16,采矿工业,gold,false,placeholder,false,false,
B17,采矿工业,bronze,false,placeholder,false,false,
B18,采矿工业,silver,false,placeholder,false,false,
C01,舰船工程,bronze,false,placeholder,false,false,
