编号,分类,触发条件/建议,难度档,隐藏,成就名（待填）,备注,名称状态,触发器(JSON),奖励(JSON),Steam启用,Steam API Name,Steam进度 Stat API Name,Steam进度上限
A01,技能,技能 <采矿> 达到 50 级,银,否,待命名成就 · A01,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A02,技能,技能 <行星开发> 达到 50 级,银,否,如果你能开100个球种水，你还会是现在这样？,,provisional,,"{""type"":""research-hours"",""hours"":1}",否,,,
A03,技能,技能 <冶炼> 达到 50 级,银,否,待命名成就 · A03,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A04,技能,技能 <气体采集> 达到 50 级,银,否,待命名成就 · A04,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A05,技能,技能 <舰船工程> 达到 50 级,银,否,待命名成就 · A05,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A06,技能,技能 <装备制造> 达到 50 级,银,否,待命名成就 · A06,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A07,技能,技能 <改装件工程> 达到 50 级,银,否,待命名成就 · A07,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A08,技能,技能 <增强剂工程> 达到 50 级,银,否,待命名成就 · A08,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A09,技能,技能 <逆向工程> 达到 50 级,银,否,待命名成就 · A09,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A10,技能,技能 <激光炮操作> 达到 50 级,银,否,待命名成就 · A10,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A11,技能,技能 <火炮操作> 达到 50 级,银,否,待命名成就 · A11,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A12,技能,技能 <导弹操作> 达到 50 级,银,否,待命名成就 · A12,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A13,技能,技能 <防御> 达到 50 级,银,否,待命名成就 · A13,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A14,技能,技能 <护盾操作> 达到 50 级,银,否,待命名成就 · A14,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A15,技能,技能 <装甲强化> 达到 50 级,银,否,待命名成就 · A15,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A16,技能,技能 <舰船结构工程> 达到 50 级,银,否,待命名成就 · A16,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A17,技能,技能 <锁定> 达到 50 级,银,否,待命名成就 · A17,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A18,技能,技能 <驾驶> 达到 50 级,银,否,待命名成就 · A18,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A19,技能,技能 <电容管理> 达到 50 级,银,否,待命名成就 · A19,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A20,技能,技能 <无人机> 达到 50 级,银,否,待命名成就 · A20,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A21,技能,技能 <考古> 达到 50 级,银,否,待命名成就 · A21,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A22,技能,技能 <采矿> 达到 99 级,金,否,待命名成就 · A22,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A23,技能,技能 <行星开发> 达到 99 级,金,否,鹰酱称之曰：能,,provisional,,"{""type"":""research-hours"",""hours"":2}",否,,,
A24,技能,技能 <冶炼> 达到 99 级,金,否,待命名成就 · A24,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A25,技能,技能 <气体采集> 达到 99 级,金,否,待命名成就 · A25,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A26,技能,技能 <舰船工程> 达到 99 级,金,否,待命名成就 · A26,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A27,技能,技能 <装备制造> 达到 99 级,金,否,待命名成就 · A27,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A28,技能,技能 <改装件工程> 达到 99 级,金,否,待命名成就 · A28,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A29,技能,技能 <增强剂工程> 达到 99 级,金,否,待命名成就 · A29,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A30,技能,技能 <逆向工程> 达到 99 级,金,否,待命名成就 · A30,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A31,技能,技能 <激光炮操作> 达到 99 级,金,否,待命名成就 · A31,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A32,技能,技能 <火炮操作> 达到 99 级,金,否,待命名成就 · A32,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A33,技能,技能 <导弹操作> 达到 99 级,金,否,待命名成就 · A33,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A34,技能,技能 <防御> 达到 99 级,金,否,待命名成就 · A34,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A35,技能,技能 <护盾操作> 达到 99 级,金,否,待命名成就 · A35,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A36,技能,技能 <装甲强化> 达到 99 级,金,否,待命名成就 · A36,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A37,技能,技能 <舰船结构工程> 达到 99 级,金,否,待命名成就 · A37,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A38,技能,技能 <锁定> 达到 99 级,金,否,待命名成就 · A38,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A39,技能,技能 <驾驶> 达到 99 级,金,否,待命名成就 · A39,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A40,技能,技能 <电容管理> 达到 99 级,金,否,待命名成就 · A40,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
